id,category,name,obtained_from,source_type,additional,local_pos,local_neg,formula,fixedmass,netcharge,inspected_by,inspected_on
1,2,"1H-Perfluoro-3,3-bis(trifluoromethyl)hexyne",https://comptox.epa.gov/dashboard,1,NA,0,0,C8HF13,343.9870669,0,,
2,2,Bis(heneicosafluorodecyl)phosphinic acid,https://comptox.epa.gov/dashboard,1,NA,0,0,C20H9F34O2P,957.9797256,0,,
3,2,Tris(2-(perfluorododecyl)ethyl)phosphate,https://comptox.epa.gov/dashboard,1,NA,0,0,C42H12F75O4P,2035.927562,0,,
4,2,"2-Chloro-2-propenoic acid 3,3,4,4,5,5,6,6,6-nonafluorohexyl ester",https://comptox.epa.gov/dashboard,1,NA,0,0,C9H6ClF9O2,351.9912611,0,,
5,2,"Bicyclo[2.2.1]hept-2-ene, 5,5,6-trifluoro-6-(heptafluoropropoxy)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H6F10O,332.025897,0,,
6,2,"3,3,4-Trifluoro-4-(heptafluoropropoxy)tricyclo[4.2.1.0~2,5~]non-7-ene",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H8F10O,358.0415471,0,,
7,2,5-(Nonafluorobutyl)bicyclo[2.2.1]hept-2-ene,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H9F9,312.0560543,0,,
8,2,3-(Heptafluorobutyryl)camphor,https://comptox.epa.gov/dashboard,1,NA,0,0,C14H15F7O2,348.0960273,0,,
9,2,Perfluorobutylsulfonamide,https://comptox.epa.gov/dashboard,1,NA,0,0,C4H2F9NO2S,298.9662533,0,,
10,2,"N-(3,4-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H4Cl2F7NO,356.9558166,0,,
11,2,"N-(3,5-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H4Cl2F7NO,356.9558166,0,,
